Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-17,AAPL,184.914,190.029,183.312,188.765,262862000,0.0,0.0
2023-11-24,AAPL,188.964,191.989,188.327,189.044,148305600,0.0,0.0
2023-12-01,AAPL,188.994,191.154,187.273,190.308,216455900,0.0,0.0
2023-12-08,AAPL,189.054,195.035,186.536,194.756,251962600,0.0,0.0
2023-12-15,AAPL,192.169,198.647,190.487,196.607,379133100,0.0,0.0
2023-12-22,AAPL,195.134,196.716,192.029,192.656,232314100,0.0,0.0
2023-12-29,AAPL,192.666,193.711,190.158,191.591,153685700,0.0,0.0
2024-01-05,AAPL,186.238,187.521,179.292,180.297,275190100,0.0,0.0
2024-01-12,AAPL,181.202,186.138,180.615,185.014,238352300,0.0,0.0
2024-01-19,AAPL,181.272,191.014,179.421,190.626,259667200,0.0,0.0
2024-01-26,AAPL,191.363,195.423,191.004,191.482,255536900,0.0,0.0
2024-02-02,AAPL,191.074,191.263,178.376,184.944,325876200,0.0,0.0
2024-02-09,AAPL,187.233,190.119,184.934,188.169,252715800,0.24,0.0
2024-02-16,AAPL,187.741,187.99,180.696,181.653,268077800,0.0,0.0
2024-02-23,AAPL,181.135,184.373,179.351,181.862,192607200,0.0,0.0
2024-03-01,AAPL,181.583,183.257,176.74,179.012,354310800,0.0,0.0
2024-03-08,AAPL,175.515,176.262,167.883,170.114,393109900,0.0,0.0
2024-03-15,AAPL,172.316,173.751,169.676,171.998,367031800,0.0,0.0
2024-03-22,AAPL,174.937,178.026,169.447,171.659,361530400,0.0,0.0
2024-03-29,AAPL,169.955,172.974,168.839,170.862,237622700,0.0,0.0
2024-04-05,AAPL,170.573,171.3,167.623,168.969,239021300,0.0,0.0
2024-04-12,AAPL,168.421,177.717,166.508,175.913,322249600,0.0,0.0
2024-04-19,AAPL,174.728,175.993,163.488,164.405,309039200,0.0,0.0
2024-04-26,AAPL,164.923,170.722,164.176,168.69,241302700,0.0,0.0
2024-05-03,AAPL,172.745,186.326,168.5,182.719,441926300,0.0,0.0
2024-05-10,AAPL,181.693,184.673,179.77,182.637,300675100,0.25,0.0
2024-05-17,AAPL,185.022,190.669,184.204,189.442,288966500,0.0,0.0
2024-05-24,AAPL,188.903,192.385,186.209,189.552,208619700,0.0,0.0
2024-05-31,AAPL,191.078,192.565,188.674,191.817,230454300,0.0,0.0
2024-06-07,AAPL,192.465,196.496,192.086,196.446,245994400,0.0,0.0
2024-06-14,AAPL,196.456,219.704,191.717,212.011,635755100,0.0,0.0
2024-06-21,AAPL,212.889,218.457,206.643,207.022,506265500,0.0,0.0
2024-06-28,AAPL,207.252,215.583,206.124,210.145,335969500,0.0,0.0
2024-07-05,AAPL,211.612,225.94,211.442,225.83,216231300,0.0,0.0
2024-07-12,AAPL,226.578,232.555,222.747,230.02,287546800,0.0,0.0
2024-07-19,AAPL,235.947,236.695,221.769,223.804,278397600,0.0,0.0
2024-07-26,AAPL,226.498,227.267,214.136,217.469,242932200,0.0,0.0
2024-08-02,AAPL,216.471,225.092,215.264,219.364,296061500,0.0,0.0
2024-08-09,AAPL,198.641,216.291,195.558,215.753,342088200,0.0,0.0
2024-08-16,AAPL,215.833,226.581,215.363,225.802,214898200,0.25,0.0
2024-08-23,AAPL,225.472,228.089,222.795,226.591,188124900,0.0,0.0
2024-08-30,AAPL,226.511,232.664,223.644,228.748,209486100,0.0,0.0
2024-09-06,AAPL,228.299,228.748,217.241,220.577,179069200,0.0,0.0
2024-09-13,AAPL,220.577,223.794,216.472,222.255,237622900,0.0,0.0
2024-09-20,AAPL,216.302,232.834,213.685,227.949,550232800,0.0,0.0
2024-09-27,AAPL,227.09,229.268,223.774,227.54,210673500,0.0,0.0
2024-10-04,AAPL,229.787,232.744,222.775,226.551,221996800,0.0,0.0
2024-10-11,AAPL,224.253,229.498,221.087,227.3,164894900,0.0,0.0
2024-10-18,AAPL,228.449,237.229,228.349,234.742,218141000,0.0,0.0
2024-10-25,AAPL,234.192,236.59,227.51,231.156,197299900,0.0,0.0
2024-11-01,AAPL,233.064,234.472,220.028,222.665,248222000,0.0,0.0
2024-11-08,AAPL,220.747,228.66,219.469,226.96,208083400,0.25,0.0
2024-11-15,AAPL,225.0,228.87,221.5,225.0,223817700,0.0,0.0
2024-11-22,AAPL,225.25,230.72,225.17,229.87,196344000,0.0,0.0
2024-11-29,AAPL,231.46,237.81,229.74,237.33,198118800,0.0,0.0
2024-12-06,AAPL,237.27,244.63,237.16,242.84,208286500,0.0,0.0
2024-12-13,AAPL,241.83,250.8,241.75,248.13,192702600,0.0,0.0
2024-12-20,AAPL,247.99,255.0,245.69,254.49,368202900,0.0,0.0
2024-12-27,AAPL,254.77,260.1,253.06,255.59,133685900,0.0,0.0
2025-01-03,AAPL,252.23,253.5,241.82,243.36,171023000,0.0,0.0
2025-01-10,AAPL,244.31,247.33,233.0,236.85,185241400,0.0,0.0
2025-01-17,AAPL,233.53,238.96,228.03,229.98,269145400,0.0,0.0
2025-01-24,AAPL,224.0,227.03,219.38,222.78,277129600,0.0,0.0
2025-01-31,AAPL,224.02,247.19,223.98,236.0,372675200,0.0,0.0
2023-02-03,NVDA,19.677,21.933,19.597,21.085,1654119000,0.0,0.0
2023-02-10,NVDA,20.791,23.003,20.771,21.25,2750611000,0.0,0.0
2023-02-17,NVDA,21.522,23.032,20.947,21.372,2448882000,0.0,0.0
2023-02-24,NVDA,20.985,23.871,20.406,23.269,2630910000,0.0,0.0
2023-03-03,NVDA,23.653,23.883,22.416,23.873,2170791000,0.0,0.0
2023-03-10,NVDA,23.874,24.44,22.713,22.952,2442279000,0.004,0.0
2023-03-17,NVDA,22.739,26.384,22.285,25.711,2853086000,0.0,0.0
2023-03-24,NVDA,25.601,27.574,25.116,26.764,2797259000,0.0,0.0
2023-03-31,NVDA,26.822,27.818,25.836,27.762,1909273000,0.0,0.0
2023-04-07,NVDA,27.494,27.984,26.38,27.022,1679977000,0.0,0.0
2023-04-14,NVDA,26.808,27.775,26.205,26.743,1905191000,0.0,0.0
2023-04-21,NVDA,26.55,28.094,26.418,27.104,2057759000,0.0,0.0
2023-04-28,NVDA,26.998,27.743,26.21,27.734,1793523000,0.0,0.0
2023-05-05,NVDA,27.824,29.042,27.225,28.664,2039790000,0.0,0.0
2023-05-12,NVDA,28.506,29.204,28.03,28.324,1625569000,0.0,0.0
2023-05-19,NVDA,28.492,31.81,28.136,31.247,2398499000,0.0,0.0
2023-05-26,NVDA,30.884,39.458,29.789,38.924,3707980000,0.0,0.0
2023-06-02,NVDA,40.572,41.915,37.801,39.305,3044585000,0.0,0.0
2023-06-09,NVDA,38.887,39.693,37.339,38.752,2142310000,0.004,0.0
2023-06-16,NVDA,39.182,43.701,38.6,42.673,2966705000,0.0,0.0
2023-06-23,NVDA,42.978,43.97,41.996,42.19,1778633000,0.0,0.0
2023-06-30,NVDA,42.442,42.745,40.082,42.283,2520798000,0.0,0.0
2023-07-07,NVDA,42.498,43.194,41.327,42.484,1181290000,0.0,0.0
2023-07-14,NVDA,42.638,48.066,41.63,45.448,2383708000,0.0,0.0
2023-07-21,NVDA,46.268,47.874,44.08,44.289,3008788000,0.0,0.0
2023-07-28,NVDA,44.711,47.373,44.02,46.729,1882004000,0.0,0.0
2023-08-04,NVDA,46.733,47.109,43.367,44.66,1705897000,0.0,0.0
2023-08-11,NVDA,45.091,45.519,40.621,40.836,2288236000,0.0,0.0
2023-08-18,NVDA,40.468,45.247,40.293,43.279,2930412000,0.0,0.0
2023-08-25,NVDA,44.474,50.243,44.202,45.997,4308297000,0.0,0.0
2023-09-01,NVDA,46.461,49.904,44.868,48.487,3114195000,0.0,0.0
2023-09-08,NVDA,48.201,48.829,45.135,45.555,1757722000,0.004,0.0
2023-09-15,NVDA,46.131,46.146,43.792,43.884,2098505000,0.0,0.0
2023-09-22,NVDA,42.732,44.226,40.965,41.595,2170415000,0.0,0.0
2023-09-29,NVDA,41.576,44.128,41.162,43.483,2088801000,0.0,0.0
2023-10-06,NVDA,44.014,45.772,43.23,45.745,2093888000,0.0,0.0
2023-10-13,NVDA,44.825,47.591,44.352,45.444,2111834000,0.0,0.0
2023-10-20,NVDA,45.046,46.208,41.063,41.372,2793225000,0.0,0.0
2023-10-27,NVDA,41.214,43.681,39.865,40.485,2236157000,0.0,0.0
2023-11-03,NVDA,41.072,45.292,39.215,44.988,2177372000,0.0,0.0
2023-11-10,NVDA,45.268,48.454,44.882,48.317,2052358000,0.0,0.0
2023-11-17,NVDA,48.302,49.941,48.081,49.28,1941548000,0.0,0.0
2023-11-24,NVDA,49.294,50.529,47.672,47.758,2173932000,0.0,0.0
2023-12-01,NVDA,47.782,48.744,46.17,46.748,2074722000,0.0,0.0
2023-12-08,NVDA,46.06,47.727,44.993,47.493,1899898000,0.004,0.0
2023-12-15,NVDA,47.478,49.39,45.817,48.876,2201087000,0.0,0.0
2023-12-22,NVDA,49.386,50.419,48.084,48.816,1827857000,0.0,0.0
2023-12-29,NVDA,48.954,49.983,48.737,49.508,1113728000,0.0,0.0
2024-01-05,NVDA,49.23,49.533,47.307,49.083,1453724000,0.0,0.0
2024-01-12,NVDA,49.498,55.33,49.465,54.694,2899159000,0.0,0.0
2024-01-19,NVDA,55.002,59.483,54.724,59.474,1959125000,0.0,0.0
2024-01-26,NVDA,60.032,62.831,58.568,61.014,2180966000,0.0,0.0
2024-02-02,NVDA,61.215,66.581,60.683,66.141,2058987000,0.0,0.0
2024-02-09,NVDA,68.206,72.165,66.281,72.113,2709823000,0.0,0.0
2024-02-16,NVDA,72.579,74.59,69.6,72.592,2636656000,0.0,0.0
2024-02-23,NVDA,71.927,82.371,66.229,78.795,3089619000,0.0,0.0
2024-03-01,NVDA,79.677,82.277,77.103,82.256,2275212000,0.0,0.0
2024-03-08,NVDA,84.106,97.377,83.397,87.507,3469163000,0.004,0.0
2024-03-15,NVDA,86.409,91.938,84.146,87.816,3226556000,0.0,0.0
2024-03-22,NVDA,90.367,94.756,84.99,94.267,2887301000,0.0,0.0
2024-03-29,NVDA,93.919,96.743,89.102,90.335,2087063000,0.0,0.0
2024-04-05,NVDA,90.278,92.203,85.86,87.987,2090215000,0.0,0.0
2024-04-12,NVDA,88.679,90.718,83.002,88.165,2077138000,0.0,0.0
2024-04-19,NVDA,89.077,90.592,75.588,76.182,2631388000,0.0,0.0
2024-04-26,NVDA,78.086,88.31,76.382,87.714,2522760000,0.0,0.0
2024-05-03,NVDA,87.574,89.26,81.236,88.768,2088782000,0.0,0.0
